ISBN,Title,FirstDate,LastDate
1439152802,THE SECRET KEEPER,11/4/2012,11/25/2012
1402785925,THREE SECONDS,1/23/2011,2/13/2011
1401324800,DEADLY HEAT,10/6/2013,10/13/2013
1594203970,NW,9/23/2012,10/7/2012
052595192X,SECRETS TO THE GRAVE,1/16/2011,2/6/2011
052595144X,TREASURE HUNT,1/31/2010,Not Found
141431163X,THE TWELFTH IMAM,11/7/2010,11/21/2010
1401324444,FROZEN HEAT,9/30/2012,10/14/2012
1439170258,WRECKED,5/2/2010,5/9/2010
039915521X,RUNNING HOT,1/18/2009,2/1/2009
1416549994,ROADSIDE CROSSES,6/28/2009,7/5/2009
1594204993,REDEPLOYMENT,3/23/2014,2/8/2015
1455517135,THE SKIN COLLECTOR,6/1/2014,6/15/2014
1416566384,CARELESS IN RED,6/8/2008,6/22/2008
1101875895,OUR SOULS AT NIGHT,6/14/2015,7/12/2015
076531505X,A MIGHTY FORTRESS,5/2/2010,Not Found
1416562176,CURSED,4/26/2009,5/3/2009
006185929X,WARLORD,10/3/2010,10/10/2010
1250020026,SILENCING EVE,10/20/2013,Not Found
034553087X,DARKER AFTER MIDNIGHT,2/12/2012,Not Found
1594205418,FUNNY GIRL,2/22/2015,3/1/2015
1250019699,SAVE THE DATE,6/22/2014,Not Found
1594633177,IN PARADISE,4/27/2014,5/4/2014
1501116975,THE JAPANESE LOVER,11/22/2015,2/7/2016
145161747X,THE DOVEKEEPERS,10/23/2011,11/27/2011
1439129177,DASHING THROUGH THE SNOW,12/7/2008,1/11/2009
1414319355,THE TEHRAN INITIATIVE,11/6/2011,11/13/2011
1439136610,LAST NIGHT AT CHATEAU MARMONT,9/5/2010,9/19/2010
1439150036,PROMISE ME,10/24/2010,10/31/2010
039917432X,THE SOLOMON CURSE,9/20/2015,10/18/2015
1501119796,THE MISTLETOE INN,12/6/2015,12/13/2015
1451608217,BLOCKADE BILLY,6/13/2010,7/11/2010
052595161X,HELL GATE,3/28/2010,4/4/2010
1439136823,LOTHAIRE,1/29/2012,Not Found
1250055806,THE SCARLET GOSPELS,6/7/2015,Not Found
159995334X,THE PRIEST&#39;S GRAVEYARD,5/8/2011,Not Found
1476710791,WAYFARING STRANGER,8/3/2014,8/10/2014
1101990260,THE WIDOW,3/6/2016,4/10/2016
081299891X,TWO YEARS EIGHT MONTHS AND TWENTY-EIGHT NIGHTS,9/27/2015,10/11/2015
031258752X,A HEARTBEAT AWAY,3/6/2011,3/13/2011
1416563709,THE LADY OF THE RIVERS,11/6/2011,11/13/2011
034551064X,A SUNLESS SEA,9/16/2012,Not Found
1250049377,LANDLINE,7/27/2014,Not Found
054705484X,INDIGNATION,10/5/2008,10/19/2008
1451626096,THE WHITE PRINCESS,8/11/2013,9/1/2013
1401324134,THE SECRET LIFE OF DAMIAN SPINELLI,4/24/2011,5/22/2011
1400066034,SPIES OF THE BALKANS,7/4/2010,7/11/2010
1594746370,WILLIAM SHAKESPEARE&#39;S STAR WARS,7/21/2013,9/22/2013
045123801X,RAPTURE,10/14/2012,Not Found
