,ISBN,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date,on_NYT,publisher_id,publishplace_id,dewey_id,publisher_freq,publish_place_freq,dewey_freq,Author,author_id,author_frequency
4605,141431163X,Tyndale,,,The Twelfth Imam,340.12267196424136,,3.0,86.35294118,2010.0,1,1282,0,0,1,0,0,Joel C. Rosenberg,2275,3
4606,312651198,St. Martin's Press,,,Chasing the Night,340.12267196424136,,0.0,261.8,2010.0,1,1442,0,0,69,0,0,Iris Johansen,2117,16
4607,039915678X,G.P. Putnams Sons,,,Against All Things Ending,340.12267196424136,,0.0,456.66666669999995,2010.0,1,1693,0,0,5,0,0,Stephen R. Donaldson,177,2
4608,525951849,Dutton,,,The Templar Salvation,340.12267196424136,,0.0,141.33333330000002,2010.0,1,793,0,0,34,0,0,Raymond Khoury,1239,2
4609,1439133948,Baen,,,Cryoburn,340.12267196424136,,0.0,357.6,2010.0,1,230,0,0,2,0,0,Lois McMaster Bujold,827,3
4610,385528043,Knopf Doubleday Publishing Group,,,The Confession,340.12267196424136,,0.0,240.33333330000002,2010.0,1,1415,0,0,1,0,0,John Grisham,119,10
4611,045146365X,Roc/New American Library,,,Side Jobs,340.12267196424136,,0.0,0.0,2010.0,1,52,0,0,2,0,0,Jim Butcher,2083,6
4612,1416550747,Gallery Books,813/.54,,The shattering,328.0,New York,0.0,172.375,2010.0,1,101,270,345,5,729,667,Christie Golden,82,6
4613,312605862,St. Martin's Press,,,Christmas Eve at Friday Harbor,340.12267196424136,,0.0,402.0,2010.0,1,1442,0,0,69,0,0,Lisa Kleypas,914,3
4614,765325942,Tor,813/.54,PS3560.O7617 T69 2010,Towers of midnight,340.12267196424136,New York,0.0,398.8,2010.0,1,1141,270,345,16,729,667,Robert Jordan,1790,2
4615,399156879,Putnam,,,Indulgence in Death,384.0,,29.5,162.2,2010.0,1,458,0,0,13,0,0,J. D. Robb,526,12
4616,61836923,William Morrow,,,Moonlight Mile,340.12267196424136,,0.0,253.875,2010.0,1,1614,0,0,65,0,0,Dennis Lehane,943,3
4617,1439156352,Simon & Schuster,,,Edge,340.12267196424136,,0.0,238.0,2010.0,1,470,0,0,62,0,0,Jeffrey Deaver,785,2
4618,312600844,"Farrar, Straus and Giroux",813/.54,PS3556.R352 F74 2010,Freedom,562.0,"New York, USA",6.0,125.7272727,2010.0,1,572,367,345,5,51,667,Jonathan Franzen,340,2
4619,446195529,Grand Central Pub.,,,Hell's Corner,340.12267196424136,,0.0,170.16666669999998,2010.0,1,393,0,0,34,0,0,David Baldacci,801,16
4620,1439192561,Scribner,813/.54,PS3561.I483 F85 2010,"Full Dark, No Stars",368.0,"New York, USA",3.2941176469999998,20.08196721,2010.0,1,505,367,345,31,51,667,Stephen King,235,10
4621,1400065933,Random House Inc,,,I Still Dream About You,340.12267196424136,,0.0,300.5,2010.0,1,56,0,0,2,0,0,Fannie Flagg,1076,2
4622,1439152780,Atria Books,823/.92,PR9619.4.M74 D57 2010,The distant hours,340.12267196424136,New York,30.0,286.6,2010.0,1,1169,270,443,30,729,18,Kate Morton,210,2
4623,312591071,Thomas Dunne,,,Valley Forge,340.12267196424136,,0.0,0.0,2010.0,1,469,0,0,1,0,0,Newt Gingrich,321,2
4624,031603617X,"Little, Brown and Co.",813/.54,PS3566.A822 C775 2010,Cross fire,340.12267196424136,New York,20.0,121.5882353,2010.0,1,1407,270,345,31,729,667,James Patterson,1772,44
4625,039915714X,G. P. Putnam's Sons,813'.54,PS3553.U75C74 2010,Crescent Dawn,548.0,New York,0.0,219.33333330000002,2010.0,1,1253,270,238,46,729,3,Clive Cussler,1502,25
4626,345505492,Ballantine Books,,,The Emperor's Tomb,340.12267196424136,,0.0,202.71428569999998,2010.0,1,449,0,0,59,0,0,Steve Berry,355,6
4627,1439192952,Atria Books,,,The Athena Project,340.12267196424136,,0.0,155.75,2010.0,1,1169,0,0,30,0,0,Brad Thor,732,7
4628,446573647,Grand Central Pub.,813/.54,PS3563.A7293 O35 2010,An object of beauty,340.12267196424136,New York,0.0,338.5,2010.0,1,393,270,345,34,729,667,Steve Martin,1762,1
