United States. Marine Corps,1
French,1
French in fiction,1
Poland in fiction,1
Military attachés,1
Military attachés in fiction,1
Europe in fiction,1
Stripteasers,1
Saudi Arabians,1
Sex-oriented businesses,1
Sailing,1
Problem families,1
Serial murderer investigation,1
Women personal trainers,1
Chechens,1
Motion picture producers and directors,1
Speech disorders,1
Fratricide,1
award:national_book_critics_circle_award=2007,1
Dementia,1
Character,1
Working class men,1
New York (State),1
Intelligence officers in fiction,1
Koran,1
Koran in fiction,1
Terrorists in fiction,1
Informers,1
Women glassworkers,1
Fund raising,1
Farms,1
Child actors,1
Nuclear submarines in fiction,1
Naval architects in fiction,1
Nuclear submarines,1
Brothers and sisters in fiction,1
Submarines (Ships),1
Naval architects,1
African American college athletes in fiction,1
Celibacy,1
Celibacy in fiction,1
Mothers and sons in fiction,1
African American college athletes,1
desertion,1
Sufism,1
Pashhtuns,1
domestic abuse,1
Tajiks,1
Pinocchio,1
Intergenerational relations,1
Family sagas,1
Families -- Fiction.,1
Neo-Nazism,1
nyt:trade_fiction_paperback=2010-07-11,1
Historical - General,1
England,1
Popular American Fiction,1
Fiction - General,1
Book clubs (Discussion groups),1
Obi-Wan Kenobi (Fictitious character),1
Georgia. Bureau of Investigation,1
Georgia,1
Crimes of passion,1
Rape,1
Jake Grafton (Fictitious character),1
Tommy Carmellini (Fictitious character),1
Stone carvers,1
Hospital wards,1
Burns and scalds,1
Fire fighters,1
Police spouses in fiction,1
Polygamy,1
Drama,1
Voodooism in fiction,1
Women forensic anthropologists in fiction,1
Satanism in fiction,1
Satanism,1
Voodooism,1
Twenty-first century,1
Steeplechasing,1
Vicky Bliss (Fictitious character),1
Women art historians,1
Archaeological thefts,1
Women museum curators,1
Vicky Bliss (Fictional character),1
Women cartoonists,1
Weapons,1
Family secrets -- Fiction,1
Women librarians,1
Iowa,1
Children of clergy,1
Conflict of generations,1
Philosophy,1
Mathematics,1
Long Now Manual for Civilization,1
Museums,1
Urban Fantasy,1
Misogyny,1
Book of Leviticus,1
child sexual abuse,1
finance,1
aristocracy,1
heiresses,1
tattooing,1
upper class,1
industrialists,1
punk,1
woman,1
investigate,1
death,1
justice,1
trilogy,1
Journalists Sweden Stockholm Fiction,1
Missing persons Investigation Sweden Oland Fiction,1
Computer hackers Sweden Stockholm Fiction,1
21st Century Film and Literature,1
Gender and Violence,1
Scandinavian comparative literature,1
women's and gender studies,1
comparative literature,1
Corruption,1
Swedish fiction,1
Jewish college students,1
Young men -- Fiction,1
Life On Other Planets,1
Lake Wobegon (Minn. : Imaginary place),1
Cooperative Apartment houses,1
"Apartment houses, Cooperative",1
Young women -- Fiction,1
"Apartment houses, Cooperative -- Fiction",1
"Manhattan (New York, N.Y.) -- Fiction",1
Automobile racing,1
Cedar Cove (Wash.: Imaginary place),1
Small cities,1
Childbirth,1
"War on Terrorism, 2001-",1
Reminiscing in old age,1
Marriages of royalty and nobility,1
Food writing,1
Women cooks,1
Telepathic Horses,1
Valdemar (Imaginary place),1
Lawyers in fiction,1
Cowardly Lion (Fictitious character),1
Lion,1
Wicked Witch of the West (Fictitious character),1
Puzzles,1
Chess sets,1
Police -- California -- Los Angeles,1
Scandals,1
Sex scandals in fiction,1
Sex,1
Ethics,1
Boarding schools in fiction,1
Scandals in fiction,1
Women veterinarians,1
"Star Wars, episode III, revenge of the Sith (Motion picture)",1
"Vader, Darth (Fictitious character) -- Fiction",1
Married women in fiction,1
Rich people in fiction,1
Military nursing in fiction,1
Military nursing,1
Americans in fiction,1
Upper class women in fiction,1
"World War, 1914-1918 in fiction",1
Avalanches,1
Railroad accidents,1
Women postal service employees,1
Gifts,1
Grandfathers,1
Sweaters,1
portable toilets,1
rest areas,1
life insurance,1
Lord's Prayer,1
Hail Mary,1
survivor's guilt,1
stone,1
novella,1
nested narrative,1
obsessive-compulsive disorder,1
running,1
grief,1
crib death,1
Nouvelles,1
Mort,1
interpersonal relations,1
audiobooks,1
American short stories,1
"Columbine High School Massacre, Littleton, Colo., 1999",1
African American girls,1
Interracial adoption,1
Slave trade,1
Murder investigations,1
Ender Wiggin (Fictitious character),1
Interstellar Travel,1
Children and war,1
Interstellar Colonies,1
Gifted children,1
Space colonies,1
Space flight,1
African American psychologists,1
Adam Dalgliesh (Fictitious character),1
Lottery tickets,1
Alvirah Meehan (Fictitious character),1
"Reilly, Regan (Fictitious character)",1
"Reilly, Regan (Fictitious character) -- Fiction.",1
"Meehan, Alvirah (Fictitious character)",1
"Meehan, Alvirah (Fictitious character) -- Fiction.",1
Women private investigators -- California -- Los Angeles -- Fiction.,1
Lottery winners -- Fiction.,1
Missing persons -- Fiction.,1
New Hampshire -- Fiction.,1
Organ donors,1
Heart in fiction,1
Organ donors in fiction,1
Stalkers in fiction,1
Knitters,1
Internet,1
Blogs,1
Petroleum industry and trade,1
Election,1
Will Lee (Fictitious character),1
Piano teachers,1
English,1
"Agincourt, Battle of, Agincourt, France, 1415",1
"Agincourt, Battle of, Agincourt, France, 1415 in fiction",1
Soldiers in fiction,1
Middle Ages,1
Adventure stories,1
Honesty,1
Law firms,1
Courts,1
Law firm associates,1
Courts in fiction,1
Law firms in fiction,1
Law firm associates in fiction,1
Press coverage,1
Remarriage,1
Paparrazi,1
Absence and presumption of death,1
Political crimes and offenses -- Fiction,1
African American bisexuals,1
African American gays,1
Basketball players,1
Werewolves in fiction,1
Metamorphosis,1
