date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2009-12-06,0316018783,1439148503,0385504225,0385532458,0399155341,0399155996,0446195510,0060852577,0765302306,1416595163,0399156399,0446547565,0399155953,1401310400,1416586288,1400063841,0805080686,141659485X,0316166316,0307269981
2009-12-13,0316018783,0061929379,0385504225,1439148503,0553807153,0385532458,044101769X,0399155341,0399155996,0446547565,1416595163,0765302306,0060852577,0446195510,0399156399,1401310400,141659485X,0307269981,1416586288,1400063841
2009-12-20,039915597X,0385504225,0316018783,1439148503,0399155341,0061929379,0385532458,0553807153,0345505476,0060852577,1416595163,0446547565,0446195510,0765302306,0399155996,141659485X,1401310400,1416586288,0399156399,0307269981
2009-12-27,0385504225,039915597X,0316018783,1439148503,0399155341,0345495969,0061929379,141659485X,0385532458,0446547565,0060852577,0553807153,1416595163,0446195510,0765302306,1416586288,0307269981,0345511565,0345505476,0399155996
2010-01-03,0385504225,0316018783,1439148503,0399155341,039915597X,0061929379,0385532458,0446547565,141659485X,0060852577,1416586288,0553807153,0805080686,0307269981,1416595163,0446195510,0765302306,0345495969,0399156399,1401310400
2010-01-10,0385504225,0316018783,1439148503,0399155341,0061929379,0385532458,039915597X,0446547565,141659485X,0553807153,0060852577,0446195510,0805080686,0765302306,1416586288,1416595163,0399156399,0307269981,0399155996,038541305X
2010-01-17,0385504225,0399155341,0316018783,0345500776,0399155961,039915566X,052595130X,0446547565,0061231428,1439148503,039915597X,0061929379,0385532458,1416565159,0307269981,1439107947,0399156399,0765302306,0345495969,1439165394
2010-01-24,0399155341,0385504225,0307272400,0765317680,0316018783,0446547565,052595130X,0345500776,039915566X,1439148503,039915597X,0061929379,0061231428,0307269981,1416565159,0385532458,1416586288,0385524986,0441017150,0805080686
2010-01-31,0399155341,0399156135,0385504225,0316065781,0446547565,0316018783,0765317680,052595144X,0307272400,052595130X,0307269981,039915597X,0446550000,1416565159,039915566X,0385524986,0061929379,1416586288,0345500776,1439148503
2010-02-07,0399155341,0399156119,0385504225,0060888741,0399156135,0446547565,0316065781,0399156127,0446550000,0316018783,0765317680,0307269981,0307272400,1416565159,052595130X,1416586288,039915566X,0345500776,0061929379,1439148503
2010-02-14,0399155341,0385504225,0399156119,0553804863,0399156135,0316065781,0316018783,0446547565,0307269981,0446550000,0399156127,0060888741,0765317680,1416565159,0307272400,0061432717,052595130X,1416586288,0441017150,1439148503
2010-02-21,0316036226,0399155341,042523567X,0312364121,0385504225,0307394972,0399156119,0446550000,0316065781,0307269981,0316018783,0399156135,0399156127,1416565159,0446547565,0441017150,0765317680,0060888741,0553804863,1439148503
2010-02-28,0316036226,0399155341,0385504225,0312364121,042523567X,0312567456,0061257079,0399156194,0399156208,0399156119,0307269981,0307394972,0446550000,0316065781,0316018783,0399156127,038551638X,0446547565,0399156135,1439148503
2010-03-07,0399155341,0316036226,0385504225,0312567456,0312364121,0307271862,0374299048,0399156194,042523567X,0061147958,0307269981,0399156208,0061257079,0399156119,031258749X,0316065781,0307394972,0446547565,0446550000,0441017150
2010-03-14,0399156240,0399155341,0061138037,0399156232,0385343183,0316036226,0307271862,0385504225,0312364121,0399156194,0758234899,0312567456,0307269981,042523567X,0061147958,0061257079,0399156119,0374299048,0399156208,031258749X
2010-03-21,0743296435,0399155341,0399156240,0446563080,0316036226,0385343183,0061138037,0399156232,0385504225,0399156194,0312364121,0307271862,0307269981,0374299048,0312567456,0451463153,042523567X,0758234899,0061257079,0061147958
2010-03-28,0743296435,0399155341,0399156259,0345509080,0446563080,0399156267,0670021474,0316036226,052595161X,0399156240,0385504225,0385343183,0399156232,1400068932,0061138037,0399156194,0307269981,0312364121,0374299048,1594489769
2010-04-04,0399155341,0743296435,0399156259,0312380755,0446563080,0670021474,0385343183,0316036226,0399156232,0553807218,0345509080,1414318634,0385504225,0399156267,052595161X,1416593403,0399156240,0307269981,0399156194,1400068932
2010-04-11,052595158X,0399155341,0743296435,0399156259,0061779725,0446563080,080211928X,0312380755,0399156275,0670021474,0316036226,0061727660,0399156232,0385504225,0399156267,0374299048,0385343183,0345509080,0399156194,1414318634
2010-04-18,044101819X,0399155341,052595158X,0345505670,0743296435,0385533411,0399156259,0446563080,0061779725,080211928X,0758225644,0312380755,0385504225,0399156275,0670021474,0316036226,0374299048,1400068932,0345509080,0399156194
2010-04-25,045146317X,0399155341,052595158X,1439187312,0061246263,044101819X,0743296435,0670021601,0345505670,080211928X,1416533184,0385533411,0446563080,0553807072,0399156259,1594487510,0399156453,0670021555,0061779725,1400068649
2010-05-02,1439172269,0399155341,045146317X,052595158X,1400065747,0743296435,080211928X,1439170258,076531505X,1439187312,044101819X,0345505670,1400069262,1599951967,0446563080,0061246263,0385533411,0399156259,0670021601,1594487510
2010-05-09,0446564087,0399155341,0375424504,0061160881,0399156445,1439172269,0399156461,1400065747,0312368151,045146317X,052595158X,0743296435,080211928X,1439187312,0345505670,1400069262,1439170258,044101819X,0446563080,0061246263
2010-05-16,0316036277,0451229851,0399155341,0446564087,0778327809,1439172269,0375424504,0061160881,0399156445,1400065747,0553805541,0743296435,045146317X,0312368151,0399156461,0061988243,052595158X,0758212739,080211928X,0061655953
