ISBN,Author,Publisher,Publish Date
0812995368,Blank Publisher,2015,"Thomas, Evan"
1455554596,Grand Central Publishing,2015,Sarah Hepola
1501115634,SIMON AND SCHUSTER,2015,Jimmy Carter
0812993543,Spiegel and Grau,2015,Ta-Nehisi Coates
1594203474,Penguin Press,2015,William Finnegan
1476785651,Gallery Books,"Aug 11, 2015",Felicia Day
158333467X,Avery,2015,"Silberman, Steve"
1250010020,St. Martin's Press,2015,Tracy Daugherty
1501115413,Blank Publisher,2015,Richard B. Cheney
0062238469,Blank Publisher,2015,Linda R. Hirshman
0547840055,Houghton Mifflin Harcourt,2015,Dale Russakoff
1101903457,Blank Publisher,2015,Timothy Snyder
1250044634,Blank Publisher,2015,Damon Tweedy
0307378454,Pantheon,2015,Margo Jefferson
0062223062,Harper,2015,Mary Karr
1101946199,Knopf,2015,Stephen G. Breyer
1476748381,Simon and Schuster,2015,David Maraniss
1627792414,Henry Holt and Company,2015,Bill O'Reilly
1250077001,Flatiron Books,2016,Jenny Lawson
1439114080,Blank Publisher,2015,Jay Winik
0393080641,W. W. Norton and Company,2015,Ian W. Toll
1250083974,Thomas Dunne Books,"Sep 29, 2015",Ann Romney
0385350570,Blank Publisher,2015,Robert B. Reich
0544323521,Houghton Mifflin Harcourt,2015,Paul Theroux
038535066X,Blank Publisher,2015,Andrea Wulf
1591848040,Penguin Random House,2015,Ben Carson
1101875100,Blank Publisher,2015,Patti Smith
0399173323,Blank Publisher,2015,Patrick J. Kennedy
1594205558,Penguin,2015,Sherry Turkle
1250058902,St. Martin's Press,"Oct 13, 2015",Brandon Stanton
1594631743,Riverhead Books,2015,Sarah Vowell
0316200603,"Little, Brown, and Company",2015,Stacy Schiff
0062415832,HarperCollins Publishers,2015,Irin Carmon and Shana Knizhnik
1101983795,Dutton,2016,Drew Barrymore
110188696X,Ballantine Books,"November 3, 2015",Leah Remini
1591848067,Sentinel,"November 3, 2015",Brian Kilmeade
1400067650,Random House,2015,Jon Meacham
1250007143,St. Martin's Press,"Nov 10, 2015",Bill Nye
0871404230,Liveright Publishing Corporation,2015,Mary Beard
1250095891,Flatiron Books,"November 24, 2015",Carly Simon
081298840X,Random House,2016,Paul Kalanithi
0385539282,Blank Publisher,2015,Bill Bryson
1476763798,Simon & Schuster,2016,E. J. Dionne
0385348150,Blank Publisher,2016,Jo Marchant
0525429565,Viking,2016,Adam M. Grant
0812998405,Blank Publisher,2016,Jean Stein
0691147728,Princeton University Press,2016,"Gordon, Robert J."
1250083311,Thomas Dunne Books,2016,William Shatner
1101946326,Blank Publisher,2016,Peter Frankopan
1594206562,Penguin Press,2016,Michael V. Hayden
0385353928,Alfred A. Knopf,2016,Nancy Jo Sales
0399184414,Blank Publisher,2016,Carlo Rovelli
0553447432,Crown,March 1st 2016,Matthew Desmond
1476716560,Blank Publisher,2016,Rebecca Traister
1590514882,Other Press,2016,Sarah Bakewell
1627795391,Henry Holt and Company,2016,Thomas Frank
